Date;Economic Policy Uncertainty;Monetary policy;Fiscal Policy (Taxes OR Spending);Taxes;Government spending;Health care;National security;Entitlement programs;Regulation;Financial Regulation;Trade policy;Sovereign debt or currency crises
01/04/1993;115.8018665;55.47373622;114.1436666;124.1901789;91.97962897;182.7220134;100.6571116;113.0547679;117.65923;26.43095664;127.1870517;39.10093073
01/05/1993;153.300492;105.5729077;209.2150389;224.7830195;197.3122804;367.900842;122.3586265;225.7765395;310.3161524;34.42438853;260.901641;95.48644392
01/06/1993;131.5552888;137.5609197;159.7299217;169.023802;86.46410887;264.2775461;107.2374166;151.8661291;141.8958002;55.09338272;192.2062312;81.50301069
01/07/1993;118.8922253;132.8890062;154.4342188;157.1377313;155.9181326;199.5694209;98.99112672;74.98428045;124.5536101;45.33749214;386.1542131;321.9385203
01/08/1993;143.3253918;145.9587308;176.7992846;186.5483655;170.6411705;231.4216697;76.23530691;240.2611869;131.6734099;35.85345516;608.1632227;218.7908625
01/09/1993;124.841129;40.26895825;107.3519577;107.6508211;94.01269482;211.2053527;119.9630263;158.6640732;124.6870535;88.31883024;427.1194886;78.3932684
01/10/1993;80.60397416;56.89054078;57.51690534;58.62695605;45.97538031;137.309153;68.63654284;56.92823245;74.58747559;8.318245171;354.2460408;18.45853326
01/11/1993;100.2657783;57.2033482;64.56006607;65.5377634;46.74181808;152.4015642;88.07239806;82.64205053;92.15129163;35.12872558;1020.585881;19.48802711
01/12/1993;87.490977;38.65647553;65.11004813;66.25293669;49.78041163;102.9275886;106.9430741;74.29791022;61.30680178;17.37003118;488.9748047;19.27241213
01/01/1994;91.35413463;63.95991106;86.41476433;88.08253086;71.26734443;194.5837251;90.65597515;91.63963734;71.5289326;17.85361294;199.7464596;39.61791239
01/02/1994;77.52547059;65.79154812;66.16582898;60.14952044;84.58643817;93.2766157;92.0864631;104.7377179;54.30707377;36.72978325;185.5827827;40.75246113
01/03/1994;84.14653546;104.5888833;47.14123379;46.31978799;43.08974919;83.95373409;80.16332056;57.71590616;60.23816168;24.28801505;268.8127582;35.93074616
01/04/1994;106.3709982;159.8695006;59.13709631;61.05405736;38.11545467;98.51093304;64.46294637;62.74897897;88.80708149;25.39041672;348.2127802;37.56159639
01/05/1994;110.1581895;160.7677577;57.16944892;55.63052257;45.22162846;88.30716217;82.05215694;46.6624267;82.73033586;32.72748066;277.5694842;108.9354686
01/06/1994;77.08012047;69.77451123;48.01204524;49.78751692;19.04311322;114.543001;86.9582439;38.58514519;70.99118497;33.82792866;201.4422814;187.6639644
01/07/1994;87.78914405;73.57048406;49.95039219;42.67825758;52.68170604;107.1109588;93.65209665;44.03175267;94.92334941;25.73534419;309.5993266;57.10780303
01/08/1994;87.7473441;100.5066393;47.78252131;46.75798384;44.79581763;163.86842;65.17400842;110.4019752;80.28614561;16.83310629;224.7797952;56.0300483
01/09/1994;93.1808571;51.97155066;51.66643854;52.01518905;35.48289368;94.32717198;132.0233528;68.25785316;103.9322083;33.01641211;160.8625417;0
01/10/1994;80.18196315;61.62653467;74.02822814;75.83542901;61.33112082;110.1246547;78.06787984;96.67644056;75.20968915;7.884378321;216.2580729;52.48729384
01/11/1994;116.1364461;126.3685017;111.5743824;116.2319462;147.6710006;147.4601904;122.7934016;154.280619;120.4230868;24.59257194;627.2054709;18.1906479
01/12/1994;87.64626396;86.43605695;78.69251858;83.39336442;73.77374853;81.58955158;70.21951224;62.13862445;92.74016698;58.66804085;362.9744643;111.5887128
01/01/1995;131.6540693;185.1980705;121.8359724;124.1873525;127.8832046;132.2077243;64.0530678;189.5622663;152.8007172;112.1287792;433.5823537;622.0461044
01/02/1995;130.3566806;166.7413204;112.4075109;105.6641596;129.5672274;67.86733843;137.1274339;151.610522;189.9863476;75.95328495;207.1115153;318.359963
01/03/1995;96.35862162;96.29856451;93.91165714;83.88656998;120.0567227;99.2932646;73.51975742;123.3398455;159.4438721;65.97952071;179.9147795;146.4113106
01/04/1995;69.77728369;49.73308923;54.81981337;57.30101823;63.5792602;70.65896206;63.08352171;84.13834539;96.28869928;23.29415087;56.04629469;68.92092419
01/05/1995;63.30757797;39.37144283;50.59415114;51.99925161;46.40057919;49.56865785;56.58934093;56.01835953;73.51548175;15.11131619;114.5283144;50.29896212
01/06/1995;94.5612944;120.1632785;80.00119405;69.31678231;109.3318951;70.43841255;83.52128901;101.5337692;85.65096556;46.44288455;122.9169833;223.2938489
01/07/1995;89.35136289;88.64650384;66.42608928;61.07003589;103.2438149;81.3219999;71.13805902;114.1427653;80.94794875;24.01678659;46.22797908;53.29425197
01/08/1995;45.52693452;35.92119879;33.04507723;26.79850484;44.10648527;45.5979975;35.16635842;63.63518479;61.65952786;7.695105356;72.20698301;17.07576
01/09/1995;53.49117021;32.48447844;55.28647225;54.07656844;54.97198121;50.33596025;41.88150486;87.51615485;60.0155356;7.672616568;22.15260295;17.02585644
01/10/1995;80.55272146;42.06806603;85.65940006;81.51889082;98.42278357;100.2323922;55.56881726;135.0577991;88.98989246;7.176141458;129.4947843;47.77247235
01/11/1995;90.58875285;93.93924263;120.0434446;87.08200999;216.5006895;128.3454325;51.63764332;170.829613;53.61833546;14.79188059;80.07665671;32.82380049
01/12/1995;111.6023127;176.5157021;150.7244268;94.1213411;296.7367539;198.0216556;69.12710408;262.4494549;77.55180163;69.02750833;38.75243572;34.03887165
01/01/1996;116.6893102;138.4709603;154.1692344;119.865796;264.273298;147.2389264;53.97342529;222.6450679;117.9867626;38.65244475;44.63938756;17.15427767
01/02/1996;90.7081012;57.52270373;104.9239181;102.0860436;143.5604931;120.3811842;73.19891254;122.2109199;89.19698337;15.5844894;191.2329727;0
01/03/1996;80.61006604;68.22388146;80.04733286;78.7303722;88.09498783;85.29154496;45.95862189;97.39474985;95.13492828;13.66189038;138.0575331;45.47445757
01/04/1996;62.70352938;29.41227211;73.17057781;66.80397884;81.73255199;82.98756867;57.92519224;91.4901707;62.57074826;7.129797294;66.9024176;15.82131781
01/05/1996;74.73056783;57.68786295;64.95813343;71.74183432;36.2597871;67.76307084;70.91632663;102.9633497;113.0778751;20.43823116;83.59729988;15.1177627
01/06/1996;70.12630217;71.41474328;60.11684866;59.39506381;61.34671053;85.0772478;69.59037303;52.10775038;80.88014138;43.85598042;84.41484618;16.21970854
01/07/1996;64.63349734;92.13380976;34.5504216;35.78221167;25.0292593;54.79550024;31.04262729;55.37550911;52.14217673;7.192323721;51.91471848;0
01/08/1996;70.6064179;42.34075809;80.60094248;87.77949906;67.00859535;100.2270362;64.54104514;154.9109619;112.9426742;34.82353146;60.32611108;15.45497399
01/09/1996;68.01254032;68.95224723;47.78797621;49.70689233;36.52249856;74.0047969;67.94573685;89.54225765;77.60716379;7.136587948;51.5124136;31.67277312
01/10/1996;67.23144302;45.35648661;73.85207136;80.83419151;67.87829338;96.8396743;65.66530872;100.2286017;75.91343534;39.79076703;67.01628866;14.71622884
01/11/1996;62.45230494;31.46277412;74.33302908;76.67105302;81.92902175;141.6526909;56.06221172;149.5471909;71.0902465;6.900489923;89.65483343;15.31247519
01/12/1996;62.99679184;60.65491913;47.96579489;46.32814761;46.92275006;42.44581037;49.10296492;75.57707763;73.79615314;21.4894294;118.919409;15.89531363
01/01/1997;68.9113208;53.13118401;85.09770306;83.41758656;86.27217377;89.18956793;55.22548045;160.8836963;53.17033452;20.39249932;44.15836531;0
01/02/1997;64.54440055;19.42384295;58.86348707;58.75018676;79.11356643;72.70123017;58.14570686;136.7372677;64.17435989;28.62775848;98.15269557;0
01/03/1997;61.01566954;60.95910064;35.76176931;39.15313179;23.51204681;52.6654572;55.08169838;54.58760986;42.60812875;25.52396111;50.6642998;28.31936757
01/04/1997;56.85521212;65.53338005;37.66068127;40.70350455;17.65332766;39.30832881;41.26290379;47.29095999;46.826472;13.26732524;67.03516653;73.60187132
01/05/1997;74.99195665;75.03735614;70.05714063;72.3113421;62.15179239;68.35481673;52.48270988;93.9465568;67.78365357;6.459902304;139.8841414;28.66958574
